1934	63
9986	-9	-14
7515	-25	-5
10484	-6	19
10961	-3	31
10490	-6	25
6458	-32	23
10178	-8	23
11980	4	-35
12763	9	-27
6152	-34	27
7983	-22	-2
8313	-20	18
10653	-5	33
12150	5	-20
10191	-8	36
13383	13	-27
12137	5	-33
10037	-9	37
10333	-7	23
10344	-7	34
11116	-2	31
9413	-13	33
8315	-20	20
16076	30	31
13079	11	-21
13078	11	-22
9983	-9	-17
12151	5	-19
7363	-26	-2
10493	-6	28
9416	-13	36
9882	-10	37
9522	-12	-13
10491	-6	26
9727	-11	37
11360	0	-35
5837	-36	22
8157	-21	17
7984	-22	-1
11984	4	-31
10498	-6	33
12609	8	-26
8002	-22	17
12612	8	-23
11364	0	-31
12925	10	-20
11208	-1	-32
15459	26	34
8291	-20	-4
12303	6	-22
10345	-7	35
7824	-23	-6
9415	-13	35
16078	30	33
15146	24	31
9054	-15	-16
8292	-20	-3
7383	-26	18
15300	25	30
7537	-25	17
9868	-10	23
13083	11	-17
7514	-25	-6
15924	29	34
10183	-8	28
15145	24	30
10483	-6	18
10184	-8	29
15920	29	30
15609	27	29
10492	-6	27
7360	-26	-5
12930	10	-15
10648	-5	28
10963	-3	33
5686	-37	26
10487	-6	22
7674	-24	-1
15454	26	29
5682	-37	22
8134	-21	-6
9055	-15	-15
10338	-7	28
9567	-12	32
10192	-8	37
8290	-20	-5
15764	28	29
11675	2	-30
13233	12	-22
6457	-32	22
11117	-2	32
10017	-9	17
9708	-11	18
633	-69	-67
10640	-5	20
17626	40	31
20738	60	43
12883	9	93
2344	-58	-61
19653	53	43
22952	75	-68
1770	-62	-15
19353	51	53
21858	68	-77
19036	49	46
14579	21	-71
9906	-10	61
1265	-65	-55
15208	25	-62
3155	-53	-25
10691	-5	71
5997	-35	27
20	-73	-60
21206	63	46
2081	-60	-14
19178	50	33
22630	73	-80
19338	51	38
14427	20	-68
2236	-59	-14
15506	27	-74
9560	-12	25
9367	-13	-13
10713	-5	93
1454	-64	-21
2343	-58	-62
15351	26	-74
8978	-16	63
21708	67	-72
10839	-4	64
9713	-11	23
9712	-11	22
13082	11	-18
9873	-10	28
10172	-8	17
9832	-10	-13
6614	-31	24
5529	-38	24
17471	39	31
15816	29	-74
170	-72	-65
1915	-61	-25
17325	38	40
10866	-4	91
12887	9	97
1718	-62	-67
11639	1	89
16438	33	-72
16594	34	-71
19334	51	34
1456	-64	-19
10216	-8	61
19190	50	45
10874	-4	99
22642	73	-68
12580	7	100
22487	72	-68
16282	32	-73
12734	8	99
3310	-52	-25
3466	-51	-24
2534	-57	-26
12271	5	101
10995	-3	65
10228	-8	73
20285	57	55
8824	-17	64
16138	31	-62
